protein1,protein2
A0A384SZD5,A0A077HBN1
A0A384SZD5,A0A384SYV0
A0A384SZD5,A0A8K1SYL6
A0A384SZD5,A0A8K1Y357
A0A384SZD5,B0B211
A0A384SZD5,F1LJR5
A0A384T8W6,A0A384T8Y8
A0A384T8W6,A0A384TAD6
A0A384T8W6,A0A384TAE2
A0A384T8W6,A0A384TAF7
A0A384T8W6,A0A384TAG8
A0A384T8W6,A0A384TNK5
A0A384T8W6,A0A384TNL4
A0A384T8W6,A0A384TNM2
A0A384T8W6,A0A384TNR4
A0A384T8W6,A0A384TQ98
A0A384T8W6,A0A384TQA9
A0A384T8W6,A0A384TQD4
A0A384T8W6,A0A384TSN1
A0A384T8W6,A0A384TSN9
A0A384T8W6,A0A384TSS8
A0A384T8W6,A0A384TUJ0
A0A384T8W6,A0A384TUN2
A0A384T8W6,A0A384SYN5
A0A384T8W6,A0A384SYP7
A0A384T8W6,A0A384SYP9
A0A384T8W6,A0A384SYQ6
A0A384T8W6,A0A384SYQ8
A0A384T8W6,A0A384SYR5
A0A384T8W6,A0A384SYR6
A0A384T8W6,A0A384SYS7
A0A384T8W6,A0A384SYT2
A0A384T8W6,A0A384SYT4
A0A384T8W6,A0A384SYT5
A0A384T8W6,A0A384SYT8
A0A384T8W6,A0A384SYU4
A0A384T8W6,A0A384SYU5
A0A384T8W6,A0A384SYV1
A0A384T8W6,A0A384SYV3
A0A384T8W6,A0A384SYV7
A0A384T8W6,A0A384SZB9
A0A384T8W6,A0A384SZD9
A0A384T8W6,A0A384SZE7
A0A384T8W6,A0A384SZF4
A0A384T8W6,A0A384T8W0
A0A384T8W6,A0A384T8X1
A0A384T8W6,A0A384T8X7
A0A384T8W6,A0A384T8Y2
A0A384T8W6,A0A384T8Z5
A0A384T8W6,A0A384TAC9
A0A384T8W6,A0A384TAF1
A0A384T8W6,A0A384TAG3
A0A384T8W6,A0A384TAH8
A0A384T8W6,A0A384TNN5
A0A384T8W6,A0A384TNP5
A0A384T8W6,A0A384TNQ3
A0A384T8W6,A0A384TNS5
A0A384T8W6,A0A384TQ84
A0A384T8W6,A0A384TQ90
A0A384T8W6,A0A384TQA4
A0A384T8W6,A0A384TQC1
A0A384T8W6,A0A384TQC5
A0A384T8W6,A0A384TSP9
A0A384T8W6,A0A384TSQ6
A0A384T8W6,A0A384TSR3
A0A384T8W6,A0A384TSS3
A0A384T8W6,A0A384TST5
A0A384T8W6,A0A384TUI3
A0A384T8W6,A0A384TUJ6
A0A384T8W6,A0A384TUK1
A0A384T8W6,A0A384TUK6
A0A384T8W6,A0A384TUL3
A0A384T8W6,A0A077HBN1
A0A384T8W6,A0A384SYV0
A0A384T8W6,A0A8K1SYL6
A0A384T8W6,A0A8K1Y357
A0A384T8W6,B0B211
A0A384T8W6,F1LJR5
A0A384T8Y8,A0A384TAD6
A0A384T8Y8,A0A384TAE2
A0A384T8Y8,A0A384TAF7
A0A384T8Y8,A0A384TAG8
A0A384T8Y8,A0A384TNK5
A0A384T8Y8,A0A384TNL4
A0A384T8Y8,A0A384TNM2
A0A384T8Y8,A0A384TNR4
A0A384T8Y8,A0A384TQ98
A0A384T8Y8,A0A384TQA9
A0A384T8Y8,A0A384TQD4
A0A384T8Y8,A0A384TSN1
A0A384T8Y8,A0A384TSN9
A0A384T8Y8,A0A384TSS8
A0A384T8Y8,A0A384TUJ0
A0A384T8Y8,A0A384TUN2
A0A384T8Y8,A0A384SYN5
A0A384T8Y8,A0A384SYP7
A0A384T8Y8,A0A384SYP9
A0A384T8Y8,A0A384SYQ6
A0A384T8Y8,A0A384SYQ8
A0A384T8Y8,A0A384SYR5
A0A384T8Y8,A0A384SYR6
A0A384T8Y8,A0A384SYS7
A0A384T8Y8,A0A384SYT2
A0A384T8Y8,A0A384SYT4
A0A384T8Y8,A0A384SYT5
A0A384T8Y8,A0A384SYT8
A0A384T8Y8,A0A384SYU4
A0A384T8Y8,A0A384SYU5
A0A384T8Y8,A0A384SYV1
A0A384T8Y8,A0A384SYV3
A0A384T8Y8,A0A384SYV7
A0A384T8Y8,A0A384SZB9
A0A384T8Y8,A0A384SZD9
A0A384T8Y8,A0A384SZE7
A0A384T8Y8,A0A384SZF4
A0A384T8Y8,A0A384T8W0
A0A384T8Y8,A0A384T8X1
A0A384T8Y8,A0A384T8X7
A0A384T8Y8,A0A384T8Y2
A0A384T8Y8,A0A384T8Z5
A0A384T8Y8,A0A384TAC9
A0A384T8Y8,A0A384TAF1
A0A384T8Y8,A0A384TAG3
A0A384T8Y8,A0A384TAH8
A0A384T8Y8,A0A384TNN5
A0A384T8Y8,A0A384TNP5
A0A384T8Y8,A0A384TNQ3
A0A384T8Y8,A0A384TNS5
A0A384T8Y8,A0A384TQ84
A0A384T8Y8,A0A384TQ90
A0A384T8Y8,A0A384TQA4
A0A384T8Y8,A0A384TQC1
A0A384T8Y8,A0A384TQC5
A0A384T8Y8,A0A384TSP9
A0A384T8Y8,A0A384TSQ6
A0A384T8Y8,A0A384TSR3
A0A384T8Y8,A0A384TSS3
A0A384T8Y8,A0A384TST5
A0A384T8Y8,A0A384TUI3
A0A384T8Y8,A0A384TUJ6
A0A384T8Y8,A0A384TUK1
A0A384T8Y8,A0A384TUK6
A0A384T8Y8,A0A384TUL3
A0A384T8Y8,A0A077HBN1
A0A384T8Y8,A0A384SYV0
A0A384T8Y8,A0A8K1SYL6
A0A384T8Y8,A0A8K1Y357
A0A384T8Y8,B0B211
A0A384T8Y8,F1LJR5
A0A384TAD6,A0A384TAE2
A0A384TAD6,A0A384TAF7
A0A384TAD6,A0A384TAG8
A0A384TAD6,A0A384TNK5
A0A384TAD6,A0A384TNL4
A0A384TAD6,A0A384TNM2
A0A384TAD6,A0A384TNR4
A0A384TAD6,A0A384TQ98
A0A384TAD6,A0A384TQA9
A0A384TAD6,A0A384TQD4
A0A384TAD6,A0A384TSN1
A0A384TAD6,A0A384TSN9
A0A384TAD6,A0A384TSS8
A0A384TAD6,A0A384TUJ0
A0A384TAD6,A0A384TUN2
A0A384TAD6,A0A384SYN5
A0A384TAD6,A0A384SYP7
A0A384TAD6,A0A384SYP9
A0A384TAD6,A0A384SYQ6
A0A384TAD6,A0A384SYQ8
A0A384TAD6,A0A384SYR5
A0A384TAD6,A0A384SYR6
A0A384TAD6,A0A384SYS7
A0A384TAD6,A0A384SYT2
A0A384TAD6,A0A384SYT4
A0A384TAD6,A0A384SYT5
A0A384TAD6,A0A384SYT8
A0A384TAD6,A0A384SYU4
A0A384TAD6,A0A384SYU5
A0A384TAD6,A0A384SYV1
A0A384TAD6,A0A384SYV3
A0A384TAD6,A0A384SYV7
A0A384TAD6,A0A384SZB9
A0A384TAD6,A0A384SZD9
A0A384TAD6,A0A384SZE7
A0A384TAD6,A0A384SZF4
A0A384TAD6,A0A384T8W0
A0A384TAD6,A0A384T8X1
A0A384TAD6,A0A384T8X7
A0A384TAD6,A0A384T8Y2
A0A384TAD6,A0A384T8Z5
A0A384TAD6,A0A384TAC9
A0A384TAD6,A0A384TAF1
A0A384TAD6,A0A384TAG3
A0A384TAD6,A0A384TAH8
A0A384TAD6,A0A384TNN5
A0A384TAD6,A0A384TNP5
A0A384TAD6,A0A384TNQ3
A0A384TAD6,A0A384TNS5
A0A384TAD6,A0A384TQ84
A0A384TAD6,A0A384TQ90
A0A384TAD6,A0A384TQA4
A0A384TAD6,A0A384TQC1
A0A384TAD6,A0A384TQC5
A0A384TAD6,A0A384TSP9
A0A384TAD6,A0A384TSQ6
A0A384TAD6,A0A384TSR3
A0A384TAD6,A0A384TSS3
A0A384TAD6,A0A384TST5
A0A384TAD6,A0A384TUI3
A0A384TAD6,A0A384TUJ6
A0A384TAD6,A0A384TUK1
A0A384TAD6,A0A384TUK6
A0A384TAD6,A0A384TUL3
A0A384TAD6,A0A077HBN1
A0A384TAD6,A0A384SYV0
A0A384TAD6,A0A8K1SYL6
A0A384TAD6,A0A8K1Y357
A0A384TAD6,B0B211
A0A384TAD6,F1LJR5
A0A384TAE2,A0A384TAF7
A0A384TAE2,A0A384TAG8
A0A384TAE2,A0A384TNK5
A0A384TAE2,A0A384TNL4
A0A384TAE2,A0A384TNM2
A0A384TAE2,A0A384TNR4
A0A384TAE2,A0A384TQ98
A0A384TAE2,A0A384TQA9
A0A384TAE2,A0A384TQD4
A0A384TAE2,A0A384TSN1
A0A384TAE2,A0A384TSN9
A0A384TAE2,A0A384TSS8
A0A384TAE2,A0A384TUJ0
A0A384TAE2,A0A384TUN2
A0A384TAE2,A0A384SYN5
A0A384TAE2,A0A384SYP7
A0A384TAE2,A0A384SYP9
A0A384TAE2,A0A384SYQ6
A0A384TAE2,A0A384SYQ8
A0A384TAE2,A0A384SYR5
A0A384TAE2,A0A384SYR6
A0A384TAE2,A0A384SYS7
A0A384TAE2,A0A384SYT2
A0A384TAE2,A0A384SYT4
A0A384TAE2,A0A384SYT5
A0A384TAE2,A0A384SYT8
A0A384TAE2,A0A384SYU4
A0A384TAE2,A0A384SYU5
A0A384TAE2,A0A384SYV1
A0A384TAE2,A0A384SYV3
A0A384TAE2,A0A384SYV7
A0A384TAE2,A0A384SZB9
A0A384TAE2,A0A384SZD9
A0A384TAE2,A0A384SZE7
A0A384TAE2,A0A384SZF4
A0A384TAE2,A0A384T8W0
A0A384TAE2,A0A384T8X1
A0A384TAE2,A0A384T8X7
A0A384TAE2,A0A384T8Y2
A0A384TAE2,A0A384T8Z5
A0A384TAE2,A0A384TAC9
A0A384TAE2,A0A384TAF1
A0A384TAE2,A0A384TAG3
A0A384TAE2,A0A384TAH8
A0A384TAE2,A0A384TNN5
A0A384TAE2,A0A384TNP5
A0A384TAE2,A0A384TNQ3
A0A384TAE2,A0A384TNS5
A0A384TAE2,A0A384TQ84
A0A384TAE2,A0A384TQ90
A0A384TAE2,A0A384TQA4
A0A384TAE2,A0A384TQC1
A0A384TAE2,A0A384TQC5
A0A384TAE2,A0A384TSP9
A0A384TAE2,A0A384TSQ6
A0A384TAE2,A0A384TSR3
A0A384TAE2,A0A384TSS3
A0A384TAE2,A0A384TST5
A0A384TAE2,A0A384TUI3
A0A384TAE2,A0A384TUJ6
A0A384TAE2,A0A384TUK1
A0A384TAE2,A0A384TUK6
A0A384TAE2,A0A384TUL3
A0A384TAE2,A0A077HBN1
A0A384TAE2,A0A384SYV0
A0A384TAE2,A0A8K1SYL6
A0A384TAE2,A0A8K1Y357
A0A384TAE2,B0B211
A0A384TAE2,F1LJR5
A0A384TAF7,A0A384TAG8
A0A384TAF7,A0A384TNK5
A0A384TAF7,A0A384TNL4
A0A384TAF7,A0A384TNM2
A0A384TAF7,A0A384TNR4
A0A384TAF7,A0A384TQ98
A0A384TAF7,A0A384TQA9
A0A384TAF7,A0A384TQD4
A0A384TAF7,A0A384TSN1
A0A384TAF7,A0A384TSN9
A0A384TAF7,A0A384TSS8
A0A384TAF7,A0A384TUJ0
A0A384TAF7,A0A384TUN2
A0A384TAF7,A0A384SYN5
A0A384TAF7,A0A384SYP7
A0A384TAF7,A0A384SYP9
A0A384TAF7,A0A384SYQ6
A0A384TAF7,A0A384SYQ8
A0A384TAF7,A0A384SYR5
A0A384TAF7,A0A384SYR6
A0A384TAF7,A0A384SYS7
A0A384TAF7,A0A384SYT2
A0A384TAF7,A0A384SYT4
A0A384TAF7,A0A384SYT5
A0A384TAF7,A0A384SYT8
A0A384TAF7,A0A384SYU4
A0A384TAF7,A0A384SYU5
A0A384TAF7,A0A384SYV1
A0A384TAF7,A0A384SYV3
A0A384TAF7,A0A384SYV7
A0A384TAF7,A0A384SZB9
A0A384TAF7,A0A384SZD9
A0A384TAF7,A0A384SZE7
A0A384TAF7,A0A384SZF4
A0A384TAF7,A0A384T8W0
A0A384TAF7,A0A384T8X1
A0A384TAF7,A0A384T8X7
A0A384TAF7,A0A384T8Y2
A0A384TAF7,A0A384T8Z5
A0A384TAF7,A0A384TAC9
A0A384TAF7,A0A384TAF1
A0A384TAF7,A0A384TAG3
A0A384TAF7,A0A384TAH8
A0A384TAF7,A0A384TNN5
A0A384TAF7,A0A384TNP5
A0A384TAF7,A0A384TNQ3
A0A384TAF7,A0A384TNS5
A0A384TAF7,A0A384TQ84
A0A384TAF7,A0A384TQ90
A0A384TAF7,A0A384TQA4
A0A384TAF7,A0A384TQC1
A0A384TAF7,A0A384TQC5
A0A384TAF7,A0A384TSP9
A0A384TAF7,A0A384TSQ6
A0A384TAF7,A0A384TSR3
A0A384TAF7,A0A384TSS3
A0A384TAF7,A0A384TST5
A0A384TAF7,A0A384TUI3
A0A384TAF7,A0A384TUJ6
A0A384TAF7,A0A384TUK1
A0A384TAF7,A0A384TUK6
A0A384TAF7,A0A384TUL3
A0A384TAF7,A0A077HBN1
A0A384TAF7,A0A384SYV0
A0A384TAF7,A0A8K1SYL6
A0A384TAF7,A0A8K1Y357
A0A384TAF7,B0B211
A0A384TAF7,F1LJR5
A0A384TAG8,A0A384TNK5
A0A384TAG8,A0A384TNL4
A0A384TAG8,A0A384TNM2
A0A384TAG8,A0A384TNR4
A0A384TAG8,A0A384TQ98
A0A384TAG8,A0A384TQA9
A0A384TAG8,A0A384TQD4
A0A384TAG8,A0A384TSN1
A0A384TAG8,A0A384TSN9
A0A384TAG8,A0A384TSS8
A0A384TAG8,A0A384TUJ0
A0A384TAG8,A0A384TUN2
A0A384TAG8,A0A384SYN5
A0A384TAG8,A0A384SYP7
A0A384TAG8,A0A384SYP9
A0A384TAG8,A0A384SYQ6
A0A384TAG8,A0A384SYQ8
A0A384TAG8,A0A384SYR5
A0A384TAG8,A0A384SYR6
A0A384TAG8,A0A384SYS7
A0A384TAG8,A0A384SYT2
A0A384TAG8,A0A384SYT4
A0A384TAG8,A0A384SYT5
A0A384TAG8,A0A384SYT8
A0A384TAG8,A0A384SYU4
A0A384TAG8,A0A384SYU5
A0A384TAG8,A0A384SYV1
A0A384TAG8,A0A384SYV3
A0A384TAG8,A0A384SYV7
A0A384TAG8,A0A384SZB9
A0A384TAG8,A0A384SZD9
A0A384TAG8,A0A384SZE7
A0A384TAG8,A0A384SZF4
A0A384TAG8,A0A384T8W0
A0A384TAG8,A0A384T8X1
A0A384TAG8,A0A384T8X7
A0A384TAG8,A0A384T8Y2
A0A384TAG8,A0A384T8Z5
A0A384TAG8,A0A384TAC9
A0A384TAG8,A0A384TAF1
A0A384TAG8,A0A384TAG3
A0A384TAG8,A0A384TAH8
A0A384TAG8,A0A384TNN5
A0A384TAG8,A0A384TNP5
A0A384TAG8,A0A384TNQ3
A0A384TAG8,A0A384TNS5
A0A384TAG8,A0A384TQ84
A0A384TAG8,A0A384TQ90
A0A384TAG8,A0A384TQA4
A0A384TAG8,A0A384TQC1
A0A384TAG8,A0A384TQC5
A0A384TAG8,A0A384TSP9
A0A384TAG8,A0A384TSQ6
A0A384TAG8,A0A384TSR3
A0A384TAG8,A0A384TSS3
A0A384TAG8,A0A384TST5
A0A384TAG8,A0A384TUI3
A0A384TAG8,A0A384TUJ6
A0A384TAG8,A0A384TUK1
A0A384TAG8,A0A384TUK6
A0A384TAG8,A0A384TUL3
A0A384TAG8,A0A077HBN1
A0A384TAG8,A0A384SYV0
A0A384TAG8,A0A8K1SYL6
A0A384TAG8,A0A8K1Y357
A0A384TAG8,B0B211
A0A384TAG8,F1LJR5
A0A384TNK5,A0A384TNL4
A0A384TNK5,A0A384TNM2
A0A384TNK5,A0A384TNR4
A0A384TNK5,A0A384TQ98
A0A384TNK5,A0A384TQA9
A0A384TNK5,A0A384TQD4
A0A384TNK5,A0A384TSN1
A0A384TNK5,A0A384TSN9
A0A384TNK5,A0A384TSS8
A0A384TNK5,A0A384TUJ0
A0A384TNK5,A0A384TUN2
A0A384TNK5,A0A384SYN5
A0A384TNK5,A0A384SYP7
A0A384TNK5,A0A384SYP9
A0A384TNK5,A0A384SYQ6
A0A384TNK5,A0A384SYQ8
A0A384TNK5,A0A384SYR5
A0A384TNK5,A0A384SYR6
A0A384TNK5,A0A384SYS7
A0A384TNK5,A0A384SYT2
A0A384TNK5,A0A384SYT4
A0A384TNK5,A0A384SYT5
A0A384TNK5,A0A384SYT8
A0A384TNK5,A0A384SYU4
A0A384TNK5,A0A384SYU5
A0A384TNK5,A0A384SYV1
A0A384TNK5,A0A384SYV3
A0A384TNK5,A0A384SYV7
A0A384TNK5,A0A384SZB9
A0A384TNK5,A0A384SZD9
A0A384TNK5,A0A384SZE7
A0A384TNK5,A0A384SZF4
A0A384TNK5,A0A384T8W0
A0A384TNK5,A0A384T8X1
A0A384TNK5,A0A384T8X7
A0A384TNK5,A0A384T8Y2
A0A384TNK5,A0A384T8Z5
A0A384TNK5,A0A384TAC9
A0A384TNK5,A0A384TAF1
A0A384TNK5,A0A384TAG3
A0A384TNK5,A0A384TAH8
A0A384TNK5,A0A384TNN5
A0A384TNK5,A0A384TNP5
A0A384TNK5,A0A384TNQ3
A0A384TNK5,A0A384TNS5
A0A384TNK5,A0A384TQ84
A0A384TNK5,A0A384TQ90
A0A384TNK5,A0A384TQA4
A0A384TNK5,A0A384TQC1
A0A384TNK5,A0A384TQC5
A0A384TNK5,A0A384TSP9
A0A384TNK5,A0A384TSQ6
A0A384TNK5,A0A384TSR3
A0A384TNK5,A0A384TSS3
A0A384TNK5,A0A384TST5
A0A384TNK5,A0A384TUI3
A0A384TNK5,A0A384TUJ6
A0A384TNK5,A0A384TUK1
A0A384TNK5,A0A384TUK6
A0A384TNK5,A0A384TUL3
A0A384TNK5,A0A077HBN1
A0A384TNK5,A0A384SYV0
A0A384TNK5,A0A8K1SYL6
A0A384TNK5,A0A8K1Y357
A0A384TNK5,B0B211
A0A384TNK5,F1LJR5
A0A384TNL4,A0A384TNM2
A0A384TNL4,A0A384TNR4
A0A384TNL4,A0A384TQ98
A0A384TNL4,A0A384TQA9
A0A384TNL4,A0A384TQD4
A0A384TNL4,A0A384TSN1
A0A384TNL4,A0A384TSN9
A0A384TNL4,A0A384TSS8
A0A384TNL4,A0A384TUJ0
A0A384TNL4,A0A384TUN2
A0A384TNL4,A0A384SYN5
A0A384TNL4,A0A384SYP7
A0A384TNL4,A0A384SYP9
A0A384TNL4,A0A384SYQ6
A0A384TNL4,A0A384SYQ8
A0A384TNL4,A0A384SYR5
A0A384TNL4,A0A384SYR6
A0A384TNL4,A0A384SYS7
A0A384TNL4,A0A384SYT2
A0A384TNL4,A0A384SYT4
A0A384TNL4,A0A384SYT5
A0A384TNL4,A0A384SYT8
A0A384TNL4,A0A384SYU4
A0A384TNL4,A0A384SYU5
A0A384TNL4,A0A384SYV1
A0A384TNL4,A0A384SYV3
A0A384TNL4,A0A384SYV7
A0A384TNL4,A0A384SZB9
A0A384TNL4,A0A384SZD9
A0A384TNL4,A0A384SZE7
A0A384TNL4,A0A384SZF4
A0A384TNL4,A0A384T8W0
A0A384TNL4,A0A384T8X1
A0A384TNL4,A0A384T8X7
A0A384TNL4,A0A384T8Y2
A0A384TNL4,A0A384T8Z5
A0A384TNL4,A0A384TAC9
A0A384TNL4,A0A384TAF1
A0A384TNL4,A0A384TAG3
A0A384TNL4,A0A384TAH8
A0A384TNL4,A0A384TNN5
A0A384TNL4,A0A384TNP5
A0A384TNL4,A0A384TNQ3
A0A384TNL4,A0A384TNS5
A0A384TNL4,A0A384TQ84
A0A384TNL4,A0A384TQ90
A0A384TNL4,A0A384TQA4
A0A384TNL4,A0A384TQC1
A0A384TNL4,A0A384TQC5
A0A384TNL4,A0A384TSP9
A0A384TNL4,A0A384TSQ6
A0A384TNL4,A0A384TSR3
A0A384TNL4,A0A384TSS3
A0A384TNL4,A0A384TST5
A0A384TNL4,A0A384TUI3
A0A384TNL4,A0A384TUJ6
A0A384TNL4,A0A384TUK1
A0A384TNL4,A0A384TUK6
A0A384TNL4,A0A384TUL3
A0A384TNL4,A0A077HBN1
A0A384TNL4,A0A384SYV0
A0A384TNL4,A0A8K1SYL6
A0A384TNL4,A0A8K1Y357
A0A384TNL4,B0B211
A0A384TNL4,F1LJR5
A0A384TNM2,A0A384TNR4
A0A384TNM2,A0A384TQ98
A0A384TNM2,A0A384TQA9
A0A384TNM2,A0A384TQD4
A0A384TNM2,A0A384TSN1
A0A384TNM2,A0A384TSN9
A0A384TNM2,A0A384TSS8
A0A384TNM2,A0A384TUJ0
A0A384TNM2,A0A384TUN2
A0A384TNM2,A0A384SYN5
A0A384TNM2,A0A384SYP7
A0A384TNM2,A0A384SYP9
A0A384TNM2,A0A384SYQ6
A0A384TNM2,A0A384SYQ8
A0A384TNM2,A0A384SYR5
A0A384TNM2,A0A384SYR6
A0A384TNM2,A0A384SYS7
A0A384TNM2,A0A384SYT2
A0A384TNM2,A0A384SYT4
A0A384TNM2,A0A384SYT5
A0A384TNM2,A0A384SYT8
A0A384TNM2,A0A384SYU4
A0A384TNM2,A0A384SYU5
A0A384TNM2,A0A384SYV1
A0A384TNM2,A0A384SYV3
A0A384TNM2,A0A384SYV7
A0A384TNM2,A0A384SZB9
A0A384TNM2,A0A384SZD9
A0A384TNM2,A0A384SZE7
A0A384TNM2,A0A384SZF4
A0A384TNM2,A0A384T8W0
A0A384TNM2,A0A384T8X1
A0A384TNM2,A0A384T8X7
A0A384TNM2,A0A384T8Y2
A0A384TNM2,A0A384T8Z5
A0A384TNM2,A0A384TAC9
A0A384TNM2,A0A384TAF1
A0A384TNM2,A0A384TAG3
A0A384TNM2,A0A384TAH8
A0A384TNM2,A0A384TNN5
A0A384TNM2,A0A384TNP5
A0A384TNM2,A0A384TNQ3
A0A384TNM2,A0A384TNS5
A0A384TNM2,A0A384TQ84
A0A384TNM2,A0A384TQ90
A0A384TNM2,A0A384TQA4
A0A384TNM2,A0A384TQC1
A0A384TNM2,A0A384TQC5
A0A384TNM2,A0A384TSP9
A0A384TNM2,A0A384TSQ6
A0A384TNM2,A0A384TSR3
A0A384TNM2,A0A384TSS3
A0A384TNM2,A0A384TST5
A0A384TNM2,A0A384TUI3
A0A384TNM2,A0A384TUJ6
A0A384TNM2,A0A384TUK1
A0A384TNM2,A0A384TUK6
A0A384TNM2,A0A384TUL3
A0A384TNM2,A0A077HBN1
A0A384TNM2,A0A384SYV0
A0A384TNM2,A0A8K1SYL6
A0A384TNM2,A0A8K1Y357
A0A384TNM2,B0B211
A0A384TNM2,F1LJR5
A0A384TNR4,A0A384TQ98
A0A384TNR4,A0A384TQA9
A0A384TNR4,A0A384TQD4
A0A384TNR4,A0A384TSN1
A0A384TNR4,A0A384TSN9
A0A384TNR4,A0A384TSS8
A0A384TNR4,A0A384TUJ0
A0A384TNR4,A0A384TUN2
A0A384TNR4,A0A384SYN5
A0A384TNR4,A0A384SYP7
A0A384TNR4,A0A384SYP9
A0A384TNR4,A0A384SYQ6
A0A384TNR4,A0A384SYQ8
A0A384TNR4,A0A384SYR5
A0A384TNR4,A0A384SYR6
A0A384TNR4,A0A384SYS7
A0A384TNR4,A0A384SYT2
A0A384TNR4,A0A384SYT4
A0A384TNR4,A0A384SYT5
A0A384TNR4,A0A384SYT8
A0A384TNR4,A0A384SYU4
A0A384TNR4,A0A384SYU5
A0A384TNR4,A0A384SYV1
A0A384TNR4,A0A384SYV3
A0A384TNR4,A0A384SYV7
A0A384TNR4,A0A384SZB9
A0A384TNR4,A0A384SZD9
A0A384TNR4,A0A384SZE7
A0A384TNR4,A0A384SZF4
A0A384TNR4,A0A384T8W0
A0A384TNR4,A0A384T8X1
A0A384TNR4,A0A384T8X7
A0A384TNR4,A0A384T8Y2
A0A384TNR4,A0A384T8Z5
A0A384TNR4,A0A384TAC9
A0A384TNR4,A0A384TAF1
A0A384TNR4,A0A384TAG3
A0A384TNR4,A0A384TAH8
A0A384TNR4,A0A384TNN5
A0A384TNR4,A0A384TNP5
A0A384TNR4,A0A384TNQ3
A0A384TNR4,A0A384TNS5
A0A384TNR4,A0A384TQ84
A0A384TNR4,A0A384TQ90
A0A384TNR4,A0A384TQA4
A0A384TNR4,A0A384TQC1
A0A384TNR4,A0A384TQC5
A0A384TNR4,A0A384TSP9
A0A384TNR4,A0A384TSQ6
A0A384TNR4,A0A384TSR3
A0A384TNR4,A0A384TSS3
A0A384TNR4,A0A384TST5
A0A384TNR4,A0A384TUI3
A0A384TNR4,A0A384TUJ6
A0A384TNR4,A0A384TUK1
A0A384TNR4,A0A384TUK6
A0A384TNR4,A0A384TUL3
A0A384TNR4,A0A077HBN1
A0A384TNR4,A0A384SYV0
A0A384TNR4,A0A8K1SYL6
A0A384TNR4,A0A8K1Y357
A0A384TNR4,B0B211
A0A384TNR4,F1LJR5
A0A384TQ98,A0A384TQA9
A0A384TQ98,A0A384TQD4
A0A384TQ98,A0A384TSN1
A0A384TQ98,A0A384TSN9
A0A384TQ98,A0A384TSS8
A0A384TQ98,A0A384TUJ0
A0A384TQ98,A0A384TUN2
A0A384TQ98,A0A384SYN5
A0A384TQ98,A0A384SYP7
A0A384TQ98,A0A384SYP9
A0A384TQ98,A0A384SYQ6
A0A384TQ98,A0A384SYQ8
A0A384TQ98,A0A384SYR5
A0A384TQ98,A0A384SYR6
A0A384TQ98,A0A384SYS7
A0A384TQ98,A0A384SYT2
A0A384TQ98,A0A384SYT4
A0A384TQ98,A0A384SYT5
A0A384TQ98,A0A384SYT8
A0A384TQ98,A0A384SYU4
A0A384TQ98,A0A384SYU5
A0A384TQ98,A0A384SYV1
A0A384TQ98,A0A384SYV3
A0A384TQ98,A0A384SYV7
A0A384TQ98,A0A384SZB9
A0A384TQ98,A0A384SZD9
A0A384TQ98,A0A384SZE7
A0A384TQ98,A0A384SZF4
A0A384TQ98,A0A384T8W0
A0A384TQ98,A0A384T8X1
A0A384TQ98,A0A384T8X7
A0A384TQ98,A0A384T8Y2
A0A384TQ98,A0A384T8Z5
A0A384TQ98,A0A384TAC9
A0A384TQ98,A0A384TAF1
A0A384TQ98,A0A384TAG3
A0A384TQ98,A0A384TAH8
A0A384TQ98,A0A384TNN5
A0A384TQ98,A0A384TNP5
A0A384TQ98,A0A384TNQ3
A0A384TQ98,A0A384TNS5
A0A384TQ98,A0A384TQ84
A0A384TQ98,A0A384TQ90
A0A384TQ98,A0A384TQA4
A0A384TQ98,A0A384TQC1
A0A384TQ98,A0A384TQC5
A0A384TQ98,A0A384TSP9
A0A384TQ98,A0A384TSQ6
A0A384TQ98,A0A384TSR3
A0A384TQ98,A0A384TSS3
A0A384TQ98,A0A384TST5
A0A384TQ98,A0A384TUI3
A0A384TQ98,A0A384TUJ6
A0A384TQ98,A0A384TUK1
A0A384TQ98,A0A384TUK6
A0A384TQ98,A0A384TUL3
A0A384TQ98,A0A077HBN1
A0A384TQ98,A0A384SYV0
A0A384TQ98,A0A8K1SYL6
A0A384TQ98,A0A8K1Y357
A0A384TQ98,B0B211
A0A384TQ98,F1LJR5
A0A384TQA9,A0A384TQD4
A0A384TQA9,A0A384TSN1
A0A384TQA9,A0A384TSN9
A0A384TQA9,A0A384TSS8
A0A384TQA9,A0A384TUJ0
A0A384TQA9,A0A384TUN2
A0A384TQA9,A0A384SYN5
A0A384TQA9,A0A384SYP7
A0A384TQA9,A0A384SYP9
A0A384TQA9,A0A384SYQ6
A0A384TQA9,A0A384SYQ8
A0A384TQA9,A0A384SYR5
A0A384TQA9,A0A384SYR6
A0A384TQA9,A0A384SYS7
A0A384TQA9,A0A384SYT2
A0A384TQA9,A0A384SYT4
A0A384TQA9,A0A384SYT5
A0A384TQA9,A0A384SYT8
A0A384TQA9,A0A384SYU4
A0A384TQA9,A0A384SYU5
A0A384TQA9,A0A384SYV1
A0A384TQA9,A0A384SYV3
A0A384TQA9,A0A384SYV7
A0A384TQA9,A0A384SZB9
A0A384TQA9,A0A384SZD9
A0A384TQA9,A0A384SZE7
A0A384TQA9,A0A384SZF4
